text,emotion,cleaned_text,text_length
i won t argue with those who are disabled about how the mda telethon makes them feel i wouldn t take away from them the want to be respected,joy,argue disabled mda telethon make feel take away want respected,10
im feeling pretty depressed and i think its spiraling,sadness,feeling pretty depressed think spiraling,5
im feeling insecure and sad because i dont know what to do with my book,fear,feeling insecure sad dont know book,6
i sure know where to come if i m feeling a little tender,love,sure know come feeling little tender,6
i didnt sleep quite as well last night but i still feel quite energetic this morning,joy,didnt sleep quite well last night still feel quite energetic morning,11
i have agonised over writing a review for this book my words just dont seem to flow i feel somehow inadequate for this task,sadness,agonised writing review book word dont seem flow feel somehow inadequate task,12
i feel curious excited and impatient,surprise,feel curious excited impatient,4
im off to the big city solo for what im afraid is going to be six days of wandering around lost six days of feeling uncomfortable six days of not knowing how to dress six days of not knowing what to do six days of not knowing where to eat six days of disaster disaster disaster,fear,big city solo afraid going six day wandering around lost six day feeling uncomfortable six day knowing dress six day knowing six day knowing eat six day disaster disaster disaster,30
i never thought i could feel thankful for such an awful thing but i am for making me stronger even as my husband gets weaker,joy,never thought could feel thankful awful thing making stronger even husband get weaker,13
i am heavy and i feel dull all over i think i ve stopped breathing,sadness,heavy feel dull think stopped breathing,6
i feel defeated loss and confused,sadness,feel defeated loss confused,4
im feeling particularly sentimental or what have you i go into a bookstore where my books are sold and i pace out the distance between where my books are displayed and where his are on the shelf,sadness,feeling particularly sentimental bookstore book sold pace distance book displayed shelf,11
i view myself in this way is that when i was growing up there were people who constantly made me feel like i wasnt good enough,joy,view way growing people constantly made feel like wasnt good enough,11
i feel so absolutely stumped on the floor when you dance you re charming and you re gentle specially when you do the continental but this feeling isn t purely mental for heaven rest us i am not asbestos and that s why i won t dance why should i,joy,feel absolutely stumped floor dance charming gentle specially continental feeling purely mental heaven rest asbestos dance,16
i feel sorry for my subjects and tend to let go too soon,sadness,feel sorry subject tend let soon,6
i love you and i feel so blessed to spend another year with you,love,love feel blessed spend another year,6
im feeling generous heres a holiday classic for you iframe allowfullscreen frameborder height src http www,love,feeling generous here holiday classic iframe allowfullscreen frameborder height src http www,12
i imagine that in the end it might feel like you do about not fully loving,love,imagine end might feel like fully loving,7
i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community,joy,also feel strongly supporting local economy past year proud driven car community,12
i am feeling insatiably curious and i want to read and learn more about digital media and social marketing,surprise,feeling insatiably curious want read learn digital medium social marketing,10
i feel myself slowly not caring about living up to other peoples standards when it comes to aesthetics and how i present myself,love,feel slowly caring living people standard come aesthetic present,9
i dont really connect with the main character or anything in fact i feel like he is almost too innocent to be me,joy,dont really connect main character anything fact feel like almost innocent,11
i feel a little more confident about doing it at school now,joy,feel little confident school,4
i get what she s saying and i feel somewhat remorseful for not being the kind of friend or giving the kind of support she wanted or needed throughout the past years of our friendship oh yes it goes back that far,sadness,get saying feel somewhat remorseful kind friend giving kind support wanted needed throughout past year friendship yes go back far,20
i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them,surprise,learned much even still learn new thing rabbit feel always keep learning amazed,13
i chose innocent worlds alphabet rose jsk for its longer length longer lengths on lolita dresses always feel more casual and innocent to me than knee length styles and it reminds me of jane austen,joy,chose innocent world alphabet rose jsk longer length longer length lolita dress always feel casual innocent knee length style reminds jane austen,22
i think this is the last week of softball and im likely going to suck it up and at least try to play but i feel absolutely rotten going to see what some aggressive hydration does,sadness,think last week softball likely going suck least try play feel absolutely rotten going see aggressive hydration,17
i feel i can divine the future if only seconds in advance,joy,feel divine future second advance,5
i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground,joy,feel everythings resolved psychically galvanised prepared wrestle world ground,9
im feeling very listless,sadness,feeling listless,2
i feel that i was innocent i did not want to hurt anyone,joy,feel innocent want hurt anyone,5
i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi,anger,didnt even time feel jealous busy pinning picture writing href http nanashi,12
i can pay the bills and still have some cash in the bank should leave me feeling pretty satisfied right,joy,pay bill still cash bank leave feeling pretty satisfied right,10
i feel heartbroken one middle aged woman told pyongyang s state run media,sadness,feel heartbroken one middle aged woman told pyongyang state run medium,11
i notice enjoyable moments are even more enjoyable because i recognize how far the feelings i get are from the horrible sensation i get when something bad happens,sadness,notice enjoyable moment even enjoyable recognize far feeling get horrible sensation get something bad happens,15
i start feeling anxious again,fear,start feeling anxious,3
i want her to feel humiliated and guilty,sadness,want feel humiliated guilty,4
i always feel a bit anxious before i preceptor because i am still learning,fear,always feel bit anxious preceptor still learning,7
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,appreciate award feel many wonderful blog winner,7
i feel hopeful like i should be gleefully roasting marshmallows from my fireplace like it s an abc family original movie,joy,feel hopeful like gleefully roasting marshmallow fireplace like abc family original movie,12
i realize i should be extremely grateful for your act of kindness lord i m feeling quite distressed at the moment,fear,realize extremely grateful act kindness lord feeling quite distressed moment,10
i feel like i am being one person whom his life will be very miserable and not doing the best,sadness,feel like one person life miserable best,7
i feel like im taking care of a needy puppy not living with a mother,sadness,feel like taking care needy puppy living mother,8
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger,feeling annoyed add dont feel important whatever shit anymore,9
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,anger,feel annoyed kind people comment try philosophy religion,8
im feeling a little melancholy tonight kinda like the paint on this door,sadness,feeling little melancholy tonight kinda like paint door,8
i know luh feeling damn awkward can,sadness,know luh feeling damn awkward,5
arriving in new zealand as a teenager first overseas trip something exhilarating about the change of scenery etc,joy,arriving new zealand teenager first overseas trip something exhilarating change scenery etc,12
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear,feel like want stop think wimpy muscle less sister tough mudder,11
i feel at ease in those moments but the last few nights have been troubled,sadness,feel ease moment last night troubled,6
i guess i feel that if i don t fulfill some of my artistic pursuits now i certainly won t have the time when the economy picks up,joy,guess feel fulfill artistic pursuit certainly time economy pick,9
i think came from the weird catholic way we d been raised to feel ashamed about sex,sadness,think came weird catholic way raised feel ashamed sex,9
i am speaking for myself right now but i know there are a lot of people who feel drained because of that non closure that occurs when we never get to be done with something,sadness,speaking right know lot people feel drained non closure occurs never get done something,14
i have been thinking on a working towards for a long time but it has become something i feel even more passionate about in this last year,love,thinking working towards long time become something feel even passionate last year,12
i feel fucked church of fuck luminaries swinelord are back with a deluxe r,anger,feel fucked church fuck luminary swinelord back deluxe,8
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear,still feeling little hesitant plunging multitude colored pencil nonetheless,9
i feel dull many of a time headache many of time insomnia,sadness,feel dull many time headache many time insomnia,8
i or you are feeling adventurous you can buy k ji kin spores by mailorder and make your own kome k ji using the rice of your choice,joy,feeling adventurous buy kin spore mailorder make kome using rice choice,11
i feel like being sociable anymore,joy,feel like sociable anymore,4
im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,joy,emo ing haha feeling happy instead able meet,8
i havent been feeling too bouncy lately so ive been quietly keeping my head down til the phase passes hence my almost complete absence from lj,joy,havent feeling bouncy lately ive quietly keeping head til phase pass hence almost complete absence,15
i sit feeling generally satisfied and i lean on the bench and take a cigarette georges lit for me and he asks how do ya feel man,joy,sit feeling generally satisfied lean bench take cigarette george lit asks feel man,13
i aint feeling it this is where been carefree deffinately is worrying in its self,joy,aint feeling carefree deffinately worrying self,6
i feel less shitty,sadness,feel less shitty,3
i didn t want to do too much and then leave it feeling awkward at times,sadness,want much leave feeling awkward time,6
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger,get bottom feeling berate feeling dissatisfied,6
i feel so virtuous having made this for dinner tonight,joy,feel virtuous made dinner tonight,5
i often feel disappointed in my decisions and who i am and call myself names,sadness,often feel disappointed decision call name,6
i just feel so listless,sadness,feel listless,2
im already not feeling terrific,joy,already feeling terrific,3
a gigantic spider climbed over my face and what is more in my own flat,anger,gigantic spider climbed face flat,5
im still feeling very incredibly overwhelmed with the entire situation,surprise,still feeling incredibly overwhelmed entire situation,6
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,surprise,ive ever written although gon reproduce full boring academic reference also specifically analysis several prominent blogger treatment romantic relationship feel weird putting internet,23
i always feel the need to break awkward silences which makes it even more awkward,sadness,always feel need break awkward silence make even awkward,9
i don t know how it works but asking for divine assistance certainly makes us feel more graceful even when our situation remains the same,joy,know work asking divine assistance certainly make feel graceful even situation remains,12
i opened the first window whilst listening to a certain mariah carey christmas classic on the radio so im feeling pretty festive this morning,joy,opened first window whilst listening certain mariah carey christmas classic radio feeling pretty festive morning,15
im feeling really stressed today about the state of the house,sadness,feeling really stressed today state house,6
i feel like most designers shy away from using color in the kitchen so i just love how julia incorporated bright splashes of orange blue and green throughout the space,fear,feel like designer shy away using color kitchen love julia incorporated bright splash orange blue green throughout space,18
i feel like the awkward outsider and start to feel homesick,sadness,feel like awkward outsider start feel homesick,7
i don t really feel all that bothered by it to be honest,anger,really feel bothered honest,4
i cant explain how proud of him i am and the feeling of seeing him so determined each time to win,joy,cant explain proud feeling seeing determined time win,8
i feel triumphant so deal with it,joy,feel triumphant deal,3
i do this because the worse they are the more justified i feel a needy man on the street suddenly represents a threat to my very peace and freedom,sadness,worse justified feel needy man street suddenly represents threat peace freedom,11
i still feel terribly devastated,sadness,still feel terribly devastated,4
i woke up feeling amazed and then i realized that a dream is still a dream,surprise,woke feeling amazed realized dream still dream,7
i feel which usually very few people may easily subdue the longing of ones or even,love,feel usually people may easily subdue longing one even,9
i am wearing and feeling confident about myself,joy,wearing feeling confident,3
i feel as though my capacity to love others to show love to be loved and share it has grown dramatically,love,feel though capacity love others show love loved share grown dramatically,11
i feel little comes from my divine center,joy,feel little come divine center,5
i need to feel like my time is valuable,joy,need feel like time valuable,5
i need to get back to work rewriting an introduction i feel woeful inadequate in writing ill make this short,sadness,need get back work rewriting introduction feel woeful inadequate writing ill make short,13
i guess you could say i am teeter totering right now on the edge and i feel like im dangerous,anger,guess could say teeter totering right edge feel like dangerous,10
i feel like were hitting this sweet spot ds is going to rd grade ds is going to st and dd is headed for her last year of preschool,love,feel like hitting sweet spot going grade going headed last year preschool,12
i feel like ya maybe i am dumb weird and strange,sadness,feel like maybe dumb weird strange,6
i no longer have that angst inside me the kind of yelping passion and feeling of being wronged or what have you that drove my initial connection to emo,anger,longer angst inside kind yelping passion feeling wronged drove initial connection emo,12
i to feel unloved when hes god and he has the choice to do whatever he wantd,sadness,feel unloved he god choice whatever wantd,7
i feel like ive been shaken around a thrown down,fear,feel like ive shaken around thrown,6
i think it is common to feel helpless at times like this,sadness,think common feel helpless time like,6
i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work,anger,feel like long enough would emotion back could either stressed people cant hide emotion would support back feeling would safe esp without school work,24
im feeling on the mellow side today,joy,feeling mellow side today,4
i feel treasured i feel loved i feel ive done more than just pursue the craft i adore and make a living from it and more than just fulfil the only real ambition ive ever had of becoming a professional writer,love,feel treasured feel loved feel ive done pursue craft adore make living fulfil real ambition ive ever becoming professional writer,20
i have always loved my jobs and loved to work and i truly feel like being back there with my patients and co workers will do me a lot of good even if it is only for a few weeks,joy,always loved job loved work truly feel like back patient worker lot good even week,15
i feel so empty a href http uwilnevrknow,sadness,feel empty href http uwilnevrknow,5
i could have used for this blog post but this one perfectly describes the way i feel as well as give tribute to my,joy,could used blog post one perfectly describes way feel well give tribute,12
i also came away injury free and feeling amazing throughout the entire race,surprise,also came away injury free feeling amazing throughout entire race,10
i feel so honored to know all of you,joy,feel honored know,3
i can only pass to my left side and i would have to occasionally reset if my weaker leg gets put in half guard but did not feel comfortable taking the back nor mount,joy,pas left side would occasionally reset weaker leg get put half guard feel comfortable taking back mount,17
ill even come out of it as one of those people who can have a small piece of dark chocolate here and there and feel completely satisfied when its gone,joy,ill even come one people small piece dark chocolate feel completely satisfied gone,13
i absolutely refuse to feel insecure about how i look anymore,fear,absolutely refuse feel insecure look anymore,6
i always liked the winter season i feel that im well adapted to cold weather,joy,always liked winter season feel well adapted cold weather,9
i feel i can never thank you enough for helping this girl with a troubled past become who she is today,sadness,feel never thank enough helping girl troubled past become today,10
i knew it would feel empty and there would be the potential to feel like i wasnt doing well as i wasnt passing folks,sadness,knew would feel empty would potential feel like wasnt well wasnt passing folk,13
i even feel surprised if its dark outside,surprise,even feel surprised dark outside,5
i will tell them what i really feel i understand supporting someone but that doesnt mean you have to lie to them,love,tell really feel understand supporting someone doesnt mean lie,9
i admit i was feeling agitated so when hubby asked me if i want to join them for a drink i agreed,anger,admit feeling agitated hubby asked want join drink agreed,9
i feel so fucking lame saying that however immature it may be something that i just imagine have imagined all this time,sadness,feel fucking lame saying however immature may something imagine imagined time,11
i love my tango family sometimes especially when i m feeling ugly and awkward and like an outsider i need something from tango that i can t get when i know everyone at the milonga,sadness,love tango family sometimes especially feeling ugly awkward like outsider need something tango get know everyone milonga,17
i guess when you are constantly feeling unhappy around the person it is a sign to you to remove this person from your life,sadness,guess constantly feeling unhappy around person sign remove person life,10
i feel tortured by this sense of wrong,fear,feel tortured sense wrong,4
i find myself feeling irritable or depleted i run through a mental checklist have i worked out,anger,find feeling irritable depleted run mental checklist worked,8
i am feeling quite weepy can you get rid of them and she did,sadness,feeling quite weepy get rid,5
i feel acclimated like i am finally a part of this organization rather than a timid observer,fear,feel acclimated like finally part organization rather timid observer,9
i was snapping at everybody and feeling very grumpy in general,anger,snapping everybody feeling grumpy general,5
when i nearly caused a traffic accident with my car,fear,nearly caused traffic accident car,5
i feel it looks abit dull and i am going to match the colours with the colours i am going to put on my final cover which i think will be white black and either red or blue,sadness,feel look abit dull going match colour colour going put final cover think white black either red blue,18
i guess the mild pain had made me feel even more impatient to just get on with it,anger,guess mild pain made feel even impatient get,8
i starred into susan s gaping cum filled ring i could feel my own cock hardening in the vain hope of fucking this goddess myself but that would have to wait another day,sadness,starred susan gaping cum filled ring could feel cock hardening vain hope fucking goddess would wait another day,18
i am feeling really confident moving into tomorrow as it will be the same juice smoothie and raw vegan meal menu routine,joy,feeling really confident moving tomorrow juice smoothie raw vegan meal menu routine,12
ive gotten so used to them to the extent that im actually feeling weird without them,surprise,ive gotten used extent actually feeling weird without,8
i feel isolated because im not much for driving on bad roads,sadness,feel isolated much driving bad road,6
i cant blog if im feeling inspired and once i do blog i lose inspiration,joy,cant blog feeling inspired blog lose inspiration,7
i grin and kiss my way down his body the same way he d done to me except with less teeth because i m feeling rather mellow and content at the moment,joy,grin kiss way body way done except less teeth feeling rather mellow content moment,14
i feel out of generous love people have focused too much on my story and i don t want to perpetuate that dynamic there are some other educators who are going through the same,love,feel generous love people focused much story want perpetuate dynamic educator going,12
i feel and i dont need some dumb reason to legitimize or excuse the way im feeling,sadness,feel dont need dumb reason legitimize excuse way feeling,9
i feel burdened and guilted by the weight of a decision gone bad,sadness,feel burdened guilted weight decision gone bad,7
im down to blogging again simply because im feeling very distracted though im suppose to study cell bio now,anger,blogging simply feeling distracted though suppose study cell bio,9
i feel about this band perhaps i m too distracted by the hardcore dancers flailing around,anger,feel band perhaps distracted hardcore dancer flailing around,8
i began to feel accepted by gaia on her own terms,love,began feel accepted gaia term,5
i potter around my one bed flat i feel a little bit more like an unfortunate version of bridget jones,sadness,potter around one bed flat feel little bit like unfortunate version bridget jones,13
i get more upset when bruce is a little more tired from work than usual i feel a little rejected,sadness,get upset bruce little tired work usual feel little rejected,10
i just feel so safe,joy,feel safe,2
i didn t feel particularly sympathetic toward her,love,feel particularly sympathetic toward,4
i like my new bunnysuit when i wear it i feel cute,joy,like new bunnysuit wear feel cute,6
when i heard what mark i had got at the entrance examination and i realized my admittance to the university was almost certain,joy,heard mark got entrance examination realized admittance university almost certain,10
i feel their pain and its not pleasant,joy,feel pain pleasant,3
i feel very innocent and chaste now,joy,feel innocent chaste,3
im feeling low i usually just want to lay in bed and do nothing,sadness,feeling low usually want lay bed nothing,7
i know that there will be days that i am going to feel discouraged,sadness,know day going feel discouraged,5
i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,joy,feel like plan make happy allow help family better many way,11
i supposed to feel about a persom that i was wickdly in love with for so long for me who tells me that he will not see me when hes got a girlfriend because he can not be faithful to her if im around,joy,supposed feel persom wickdly love long tell see he got girlfriend faithful around,13
i feel you and its so sincere,joy,feel sincere,2
im feeling nervous about it,fear,feeling nervous,2
i am going to feel annoyed with myself,anger,going feel annoyed,3
i feel hesitant around it,fear,feel hesitant around,3
i did laps and now feel all virtuous,joy,lap feel virtuous,3
i feel so assured and doubtful at the same time,joy,feel assured doubtful time,4
i woke feeling hopeful,joy,woke feeling hopeful,3
i still feel really regretful for leaving,sadness,still feel really regretful leaving,5
i could listen to those words and suddenly not feel so incredibly helpless,sadness,could listen word suddenly feel incredibly helpless,7
i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one,surprise,feel pretty weird blogging deodorant bit deodorant snob find really hard find good one,14
i feel studying and doing homework again after weeks of holidays target blank img title stumbleupon class ssba alt stumbleupon src http www,sadness,feel studying homework week holiday target blank img title stumbleupon class ssba alt stumbleupon src http www,17
i guess what i m trying to say is that i have no abusive boyfriends no crushing of dreams no loss of jobs no real reason to feel depressed but i am,sadness,guess trying say abusive boyfriend crushing dream loss job real reason feel depressed,13
i also feel extremely blessed to be marrying into such a loving family,joy,also feel extremely blessed marrying loving family,7
i feel like the only person i ever truly loved was a guy whom we shall call mr,love,feel like person ever truly loved guy shall call,9
i couldnt get to sleep i was feeling quite irritable and restless and every time i was dropping off to sleep a mosquito would land on my face or squeal around my ear,anger,couldnt get sleep feeling quite irritable restless every time dropping sleep mosquito would land face squeal around ear,18
i feel more sympathetic than ever for elementary school teachers trying to coerce entire classes of third graders to walk single file to the lunchroom,love,feel sympathetic ever elementary school teacher trying coerce entire class third grader walk single file lunchroom,16
i barely seem to remember where i live in the middle of coming to terms with the likelihood that i would just be single for the rest of my life and feeling pretty content about that,joy,barely seem remember live middle coming term likelihood would single rest life feeling pretty content,15
i feed him and how strongly i feel about not feeding him crappy processed dog food because i want him to live forever,sadness,feed strongly feel feeding crappy processed dog food want live forever,11
i feel indecisive it feels like the security that i usually feel from sensing the ground beneath my feet is suddenly gone and i am left feeling wobbly and unhappy,fear,feel indecisive feel like security usually feel sensing ground beneath foot suddenly gone left feeling wobbly unhappy,17
i love this projector it is old it has an old smell to it not displeasing just old and slightly musty it is from the early s i feel like i am in my own little episode of mad men when we set it up to watch something on it,anger,love projector old old smell displeasing old slightly musty early feel like little episode mad men set watch something,19
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,also hope understand feel angry dont support hat rule turn school event sans hat,14
i feel that should hurt more than is does she grimaced,sadness,feel hurt grimaced,3
staying in a relatives house which was broken in before,fear,staying relative house broken,4
i am now drunk again and feel fab,joy,drunk feel fab,3
i decided for the first time in about months to try not wearing my ugly pink and black running shoes and at least feel a little bit cute going out,joy,decided first time month try wearing ugly pink black running shoe least feel little bit cute going,17
i feel like people have shamed me for being so,sadness,feel like people shamed,4
im feeling very mellow and relaxed sometimes im feeling productive and quiet and sometimes i just wanna have fun yknow,joy,feeling mellow relaxed sometimes feeling productive quiet sometimes wan fun yknow,11
im moving back into vegitarianism and it feels delicious,joy,moving back vegitarianism feel delicious,5
im feeling pissed and sad right now,anger,feeling pissed sad right,4
i was talking to my district leader elder hill last night and was explaining to him some of my concerns such as not seeing the fruits of our efforts not having baptized anyone yet and just plain feeling like i have so many problems and weaknesses that its not even funny,surprise,talking district leader elder hill last night explaining concern seeing fruit effort baptized anyone yet plain feeling like many problem weakness even funny,23
i feel so worthless beaten and broken,sadness,feel worthless beaten broken,4
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,joy,time sister first baby happy joyous stayed two day marriage child,11
i feel like it dirty src http i,sadness,feel like dirty src http,5
i feel completely listless running on auto,sadness,feel completely listless running auto,5
i feel like i have been quite neglectful to my blog and am just to say that we are here alive and happy,sadness,feel like quite neglectful blog say alive happy,8
i was also worried about the long trip because i had vomited the night before and as you may guess im not feeling well at all,joy,also worried long trip vomited night may guess feeling well,10
i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,joy,feel like try calm shes good since game ended see katniss getting tense every schedule adjustment,16
i hate feeling that im so indecisive,fear,hate feeling indecisive,3
i feel its my job to let you know when you might have missed another holiday,sadness,feel job let know might missed another holiday,8
i feel exhausted after i am done reading its like i live multiple lives all at once in the span of a day,sadness,feel exhausted done reading like live multiple life span day,10
i can write about it in my journal or something i am good at keeping a secret from the world no it depresses me and although i feel idiotic happiuness is bliss i watch the news,sadness,write journal something good keeping secret world depresses although feel idiotic happiuness bliss watch news,15
i am looking forward to it unless i feel out of place though i have been assured i will fit in,joy,looking forward unless feel place though assured fit,8
i feel that i am getting more and more timid these days,fear,feel getting timid day,4
i feel amused at the absurdity of it all,joy,feel amused absurdity,3
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,feel much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island,22
i guess she was feeling pretty hesitant,fear,guess feeling pretty hesitant,4
i used to feel pretty friendly with started spouting off about how russia is running a muck for no reason that they dont give a shit about their citizens and that they cant be trusted,joy,used feel pretty friendly started spouting russia running muck reason dont give shit citizen cant trusted,16
i may rant but i don t feel burdened in the least bit,sadness,may rant feel burdened least bit,6
i was the one who was bearing all the pain and anguish yet why was it that i was the one that continues to feel the hurt while the ass is still gallivanting and showing off,sadness,one bearing pain anguish yet one continues feel hurt as still gallivanting showing,13
i just feel so unsure of myself and everything in my life,fear,feel unsure everything life,4
i thought wed escaped the interminable bouts of bods in dressing gowns feeling each others lapels we now have the charming spectacle as i type of a guy in a tight fitting deep blue combo trying to for all intents and purposes take another guy in red from behind,joy,thought wed escaped interminable bout bod dressing gown feeling others lapel charming spectacle type guy tight fitting deep blue combo trying intent purpose take another guy red behind,28
im being challenged and feel valued all the time,joy,challenged feel valued time,4
i can still feel all my muscles aching,sadness,still feel muscle aching,4
i feel like i was actually productive today,joy,feel like actually productive today,5
i was going to say that it makes me feel all unloved and shit but thats just me being overly dramatic,sadness,going say make feel unloved shit thats overly dramatic,9
i did a breathing treatment but as i laid in bed i felt like complete crap and i couldnt sleep so i called in thinking i really need to get steroids and ill feel fine right,joy,breathing treatment laid bed felt like complete crap couldnt sleep called thinking really need get steroid ill feel fine right,20
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness,figured feel crappy feel crappy lot feeling crappy come trying figure certain negative emotion exist especially life pretty damn good time,21
i would feel timid wearing them beacuse id try to not get them dirty etc,fear,would feel timid wearing beacuse try get dirty etc,9
i feel burdened a href http scratcheverything,sadness,feel burdened href http scratcheverything,5
i feel less stressed and at the end of the day usually discover that ive done more,sadness,feel less stressed end day usually discover ive done,9
i cant even remember what it feels like to be loved,love,cant even remember feel like loved,6
i tend to have a discomforting feeling or maybe get disturbed but that sense of emotion only plays out the way the book is being interpreted,sadness,tend discomforting feeling maybe get disturbed sense emotion play way book interpreted,12
i feel more resolved and less like smoking my lungs today are obviously not very happy with me,joy,feel resolved less like smoking lung today obviously happy,9
i feel so frightened i just wanted to document the way i m feeling,fear,feel frightened wanted document way feeling,6
i feel blackburn will be a stubborn team against blackpool and holloway will want a positive reaction in this game even if they don get a result,anger,feel blackburn stubborn team blackpool holloway want positive reaction game even get result,13
i suppose i am a bit on occasion but now ive become this horrible annoying person and i feel so strange about it,fear,suppose bit occasion ive become horrible annoying person feel strange,10
i feel uncertain about something i will act in a more positive and powerful way,fear,feel uncertain something act positive powerful way,7
im sure something will come to me on a day when im feeling a little more artistic,joy,sure something come day feeling little artistic,7
im feeling the way shes not caring for me the way she used to,love,feeling way shes caring way used,6
i was feeling a little adventurous and ordered the seafood paella and lemonade and after the drink arrived i kicked myself as i should have ordered a glass of sangria,joy,feeling little adventurous ordered seafood paella lemonade drink arrived kicked ordered glass sangria,13
i still blush and feel shocked about the recreational activities that i sometimes unwillingly and willingly hear sometimes,surprise,still blush feel shocked recreational activity sometimes unwillingly willingly hear sometimes,11
i feel that people cannot possibly appreciate me that any compliments toward me cannot possibly be sincere or that i dont deserve compliments in the first place,joy,feel people possibly appreciate compliment toward possibly sincere dont deserve compliment first place,13
i began making dinner feeling good that i had succeeded in listening which resulted in a now cheerful husband,joy,began making dinner feeling good succeeded listening resulted cheerful husband,10
i feel like they have been more than generous and completely understand that things change i mean days off unpaid,love,feel like generous completely understand thing change mean day unpaid,10
i should be rushing around packing my kit ready to fly out to gambia on tuesday but instead i am sat here feeling rather melancholy after an emotional supping a small well fairly small,sadness,rushing around packing kit ready fly gambia tuesday instead sat feeling rather melancholy emotional supping small well fairly small,19
i left you i was feeling pretty defeated,sadness,left feeling pretty defeated,4
i feel anxious as i usually do around this time of night,fear,feel anxious usually around time night,6
i feel convinced that the ideal therapist who presumably should be able as a professional necessity to understand another person in his uniqueness and in his wholeness without presupposition ought to be at least a fairly healthy human being,joy,feel convinced ideal therapist presumably able professional necessity understand another person uniqueness wholeness without presupposition ought least fairly healthy human,20
i feel like the class clown because im the only outgoing person there,joy,feel like class clown outgoing person,6
i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine,joy,spring fling feeling like flower unfurling artistic soul ready sunshine,10
i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that,anger,get another call frantic junior file obviously refused help feeling like rude mean went like yeah sorry dont,18
i feel rebellious and think let them do so,anger,feel rebellious think let,4
i feel like on my ugly days or ugly phases as i call them i m not just unattractive but that i m unattractive in an odd way,sadness,feel like ugly day ugly phase call unattractive unattractive odd way,11
i feel not offended in any form and should not make this big and in the end it doesnt bother me at all but ive learned to show some balls in the past and say what i think not anonymous so if we would give some weight to the content of these comments there would be the questions what is behind it,anger,feel offended form make big end doesnt bother ive learned show ball past say think anonymous would give weight content comment would question behind,24
i was feeling optimistic and actually ran the first couple miles at probably a pace,joy,feeling optimistic actually ran first couple mile probably pace,9
i have now lived in virginia for about eight whole months and it feels super weird,joy,lived virginia eight whole month feel super weird,8
im usually so strong but she has this ability to make me feel like a naughty child that doesnt know what shes talking about,love,usually strong ability make feel like naughty child doesnt know shes talking,12
i get this gut feeling or am i just being paranoid,fear,get gut feeling paranoid,4
i didnt feel like moving around things were going just fine by themselves,joy,didnt feel like moving around thing going fine,8
i sure hope it helps im tired of feeling so lousy,sadness,sure hope help tired feeling lousy,6
im feeling kind of naughty,love,feeling kind naughty,3
i feel completely submitted and devoted to a href http www,love,feel completely submitted devoted href http www,7
i came out of there feeling so abused,sadness,came feeling abused,3
i dont know if i feel apprehensive about it or apathetic,fear,dont know feel apprehensive apathetic,5
i asked zack if i could go all out and write what i was feeling and he was gracious enough to let me do so,joy,asked zack could write feeling gracious enough let,8
i get close to feeling what that is like is through dance which is putting music and motion together in a similarly creative way,joy,get close feeling like dance putting music motion together similarly creative way,12
i feel lola falls under this strange demographic,surprise,feel lola fall strange demographic,5
i feel more stressed than ever,sadness,feel stressed ever,3
i keep feeling like i m reaching him this last time i was so convinced that he was there that he was responding that he was listening to me but every time it just seems to all come crashing down again,joy,keep feeling like reaching last time convinced responding listening every time seems come crashing,14
i feel like i dont honestly know which bits of the dt that i admired are the results of ccs own wit,love,feel like dont honestly know bit admired result cc wit,10
i feel is very delicate,love,feel delicate,2
i feel so glad,joy,feel glad,2
